annee;code_sexe;sexe;code_secteur_cnu;secteur_disciplinaire;code_groupe_corps;groupe_de_corps;code_uai;etablissement;code_academie;academie;code_region;region;code_pres;PRES;code_idex;IDEX;beneficiaires;geolocalisation
2009;1;Hommes;3;Sciences;2;Maîtres de conférences et assimilés;0753237L;Arts et Métiers ParisTech;01;Paris;11;Île-de-France;0755581J;PRES Hautes Etudes - Sorbonne - Arts et Métiers;;Hors IDEX;6;48.83376, 2.357537
2009;1;Hommes;3;Sciences;2;Maîtres de conférences et assimilés;0801344B;Université d'Amiens - Jules Verne;20;Amiens;22;Picardie;0512141A;PRES Picardie-Champagne;;Hors IDEX;9;49.87624, 2.266836
2009;1;Hommes;3;Sciences;2;Maîtres de conférences et assimilés;0840685N;Université d'Avignon;02;Aix-Marseille;93;Provence-Alpes-Côte d'Azur;;Hors PRES;;Hors IDEX;3;43.94944, 4.816998
2009;1;Hommes;3;Sciences;2;Maîtres de conférences et assimilés;0940607Z;École normale supérieure de Cachan;24;Créteil;11;Île-de-France;0912274C;PRES UniverSud Paris;3;IDEX PARIS SACLAY;6;48.7891, 2.325316
2009;1;Hommes;3;Sciences;2;Maîtres de conférences et assimilés;0951793H;Université de Cergy-Pontoise;25;Versailles;11;Île-de-France;0783617H;PRES Université du Grand Ouest parisien;;Hors IDEX;8;49.04102, 2.080776
2009;1;Hommes;3;Sciences;2;Maîtres de conférences et assimilés;9740478B;Université de La Réunion;28;Réunion;04;La Réunion;;Hors PRES;;Hors IDEX;2;-20.8776, 55.4473
2009;1;Hommes;4;Santé;1;Professeurs et assimilés;0134009M;Université d'Aix-Marseille;02;Aix-Marseille;93;Provence-Alpes-Côte d'Azur;;Hors PRES;1;IDEX AMIDEX;4;43.29206, 5.359012
2009;1;Hommes;4;Santé;1;Professeurs et assimilés;0350936C;Université Rennes 1;14;Rennes;53;Bretagne;0352756F;PRES Université européenne de Bretagne;;Hors IDEX;2;48.11605, -1.67414
2009;1;Hommes;4;Santé;1;Professeurs et assimilés;0440984F;Université Nantes;17;Nantes;52;Pays de la Loire;0442665H;PRES Université Nantes Angers Maine;;Hors IDEX;1;47.20964, -1.55578
2009;1;Hommes;4;Santé;1;Professeurs et assimilés;0631262E;Université Clermont-Ferrand 1 - Auvergne;06;Clermont-Ferrand;83;Auvergne;0631987T;PRES Clermont Université;;Hors IDEX;1;45.77115, 3.088561
2009;1;Hommes;4;Santé;1;Professeurs et assimilés;0673021V;Université de Strasbourg;15;Strasbourg;42;Alsace;;Hors PRES;8;UNISTRA;3;48.58004, 7.765612
2009;1;Hommes;4;Santé;1;Professeurs et assimilés;0751723R;Université Paris 7 - Denis Diderot;01;Paris;11;Île-de-France;0755598C;PRES Sorbonne Paris Cité;7;IDEX USPC;5;48.8303, 2.381357
2009;1;Hommes;4;Santé;1;Professeurs et assimilés;0781944P;Université de Versailles Saint-Quentin;25;Versailles;11;Île-de-France;0783617H;PRES Université du Grand Ouest parisien;;Hors IDEX;1;48.7997, 2.140946
2009;1;Hommes;4;Santé;1;Professeurs et assimilés;0911101C;Université Paris 11 - Paris Sud;25;Versailles;11;Île-de-France;0912274C;PRES UniverSud Paris;3;IDEX PARIS SACLAY;6;48.69818, 2.181768
2009;1;Hommes;4;Santé;2;Maîtres de conférences et assimilés;0311384L;Université Toulouse 3 - Paul Sabatier;16;Toulouse;73;Midi-Pyrénées;0312758E;PRES Université de Toulouse;6;IDEX UNITI;1;43.55708, 1.466079
2009;1;Hommes;4;Santé;2;Maîtres de conférences et assimilés;0350936C;Université Rennes 1;14;Rennes;53;Bretagne;0352756F;PRES Université européenne de Bretagne;;Hors IDEX;1;48.11605, -1.67414
